StationId,StationName
06007,Nolsoy
06008,Frodba Heliport
06009,Sudur
06011,Torshavn
06012,Fugloy
06013,Klaksvik Heliport
06014,Eidi
06018,Harald B
06019,Silstrup
06023,Gorm C
06030,Flyvestation Ålborg
06031,Tylstrup
06032,Stenhøj
06034,Sindal Lufthavn
06039,Galten
06041,Skagen Fyr
06043,Frederikshavn
06049,Hald Vest
06051,Vestervig
06052,Thyborøn
06056,Mejrup
06058,Hvide Sande
06060,Flyvestation Karup
06065,Års Syd
06068,Isenvad
06069,Foulum
06070,Århus Lufthavn
06071,Fornæs Fyr
06072,Ødum
06073,Sletterhage Fyr
06074,Århus Syd
06079,Anholt Havn
06080,Esbjerg Lufthavn
06081,Blåvandshuk Fyr
06082,Borris
06088,Nordby
06089,Sædenstrand Fyr
06093,Vester Vedsted
06096,Rømø/Juvre
06102,Bygholm Landbrugsskole
06104,Billund Lufthavn
06108,Kolding Lufthavn
06109,Askov
06110,Flyvestation Skrydstrup
06111,Bågø Fyr
06116,Store Jyndevad
06118,Sønderborg Lufthavn
06119,Kegnæs Fyr
06120,H. C. Andersen Airport
06123,Assens/Torø
06124,Elvira Madigan Airport
06126,Årslev
06132,Tranebjerg Øst
06134,Tranebjerg Syd
06135,Flakkebjerg
06136,Tystofte
06138,Langø
06141,Abed
06147,Vindebæk Kyst
06149,Gedser
06151,Omø Fyr
06154,Brandelev
06156,Holbæk Flyveplads
06159,Røsnæs Fyr
06168,Nakkehoved Fyr
06169,Gniben
06170,Roskilde Lufthavn
06174,Tessebølle
06180,Københavns Lufthavn
06181,Jægersborg
06183,Drogden Fyr
06186,Landbohøjskolen
06187,Københavns Toldbod
06188,Sjælsmark
06190,Bornholms Lufthavn
06191,Christiansø Fyr
06193,Hammer Odde Fyr
06197,Nexø Vest
